Date,Real,Synthetic
2020-01-01,0.5216692,0.51306033
2020-01-02,0.5728666,0.5899182
2020-01-03,0.596003,0.2854218
2020-01-04,0.5681232,0.41383585
2020-01-05,0.59557086,0.676631
2020-01-06,0.57713866,0.5885439
2020-01-07,0.6482784,0.58634627
2020-01-08,0.5147566,0.5893105
2020-01-09,0.5410625,0.5515842
2020-01-10,0.603793,0.57763314
2020-01-11,0.56795233,0.56338334
2020-01-12,0.5457122,0.58598626
2020-01-13,0.59017116,0.5714082
2020-01-14,0.58991563,0.5881133
2020-01-15,0.5415283,0.59803605
2020-01-16,0.44627568,0.5994353
2020-01-17,0.64967394,0.59474754
2020-01-18,0.5365942,0.59465826
2020-01-19,0.5680177,0.5699493
2020-01-20,0.45799267,0.58662397
2020-01-21,0.6052862,0.574926
2020-01-22,0.6407302,0.5958947
2020-01-23,0.6035329,0.5750412
2020-01-24,0.6029598,0.5793005
2020-01-25,0.53288096,0.6063945
2020-01-26,0.68825734,0.5762098
2020-01-27,0.61352324,0.61935574
2020-01-28,0.6085716,0.5826224
2020-01-29,0.54721314,0.6291075
2020-01-30,0.7492019,0.597882
2020-01-31,0.62770945,0.6110883
2020-02-01,0.72655815,0.5992422
2020-02-02,0.51022965,0.5974257
2020-02-03,0.43126386,0.589129
2020-02-04,0.36052835,0.56496894
2020-02-05,0.44768435,0.58394504
2020-02-06,0.622036,0.56558096
2020-02-07,0.40606096,0.5814539
2020-02-08,0.7497667,0.5553217
2020-02-09,0.62823623,0.58759356
2020-02-10,0.45339343,0.5322615
2020-02-11,0.752455,0.57541215
2020-02-12,0.45251882,0.5799473
2020-02-13,0.489723,0.5848072
2020-02-14,0.33851776,0.572778
2020-02-15,0.7339586,0.5904887
2020-02-16,0.4065595,0.5711739
2020-02-17,0.20463763,0.5786716
2020-02-18,0.85885125,0.5499852
2020-02-19,0.0,0.57392275
2020-02-20,0.84189,0.5529337
2020-02-21,0.37382472,0.577147
2020-02-22,0.6966142,0.5738911
2020-02-23,0.4683329,0.58544254
2020-02-24,0.658693,0.5842737
2020-02-25,1.0,0.58634615
2020-02-26,0.5232982,0.5736871
2020-02-27,0.6910459,0.5913545
2020-02-28,0.51583076,0.567682
2020-02-29,0.69999456,0.5840826
2020-03-01,0.5426284,0.5746256
2020-03-02,0.33637592,0.5873064
2020-03-03,0.7011636,0.54601926
2020-03-04,0.43948802,0.58599806
2020-03-05,0.8268837,0.5518731
2020-03-06,0.46287492,0.58548546
2020-03-07,0.6476312,0.5741235
2020-03-08,0.5217749,0.5885233
2020-03-09,0.63409585,0.5480586
2020-03-10,0.70337343,0.57934856
2020-03-11,0.5361032,0.5377888
2020-03-12,0.69416285,0.579156
2020-03-13,0.54090273,0.55742717
2020-03-14,0.5138781,0.56778467
2020-03-15,0.3885551,0.6073986
2020-03-16,0.7307546,0.5874741
2020-03-17,0.54023397,0.59973514
2020-03-18,0.6175276,0.5968497
2020-03-19,0.6351645,0.580515
2020-03-20,0.5108985,0.5938113
2020-03-21,0.62727237,0.54054976
2020-03-22,0.50733167,0.5780448
2020-03-23,0.47116932,0.5420902
2020-03-24,0.6482784,0.5791657
2020-03-25,0.58618516,0.56247985
2020-03-26,0.60089016,0.5755539
2020-03-27,0.62591296,0.5683199
2020-03-28,0.6316212,0.5836891
2020-03-29,0.65406615,0.559937
2020-03-30,0.46941674,0.5840781
2020-03-31,0.5564133,0.57166183
2020-04-01,0.6509698,0.5877728
2020-04-02,0.71751946,0.54546785
2020-04-03,0.64689666,0.577685
2020-04-04,0.5792629,0.537362
2020-04-05,0.61639905,0.5679121
2020-04-06,0.5011877,0.5551785
2020-04-07,0.6412017,0.57585526
2020-04-08,0.47002003,0.5347158
2020-04-09,0.4993736,0.5662954
