mean,sd,p97_5,thr196,frac_lt_0_5,market,length,cv,scaler,n
0.5709788872928556,0.17685071744767575,0.91478324099723,0.9176062934903001,0.32937910146390714,BOVESPA,track_a,contiguous,pre,3962
0.5667214778274494,0.17223040126511907,0.9142192520775624,0.9042930643070828,0.3369510348308935,BOVESPA,track_a,contiguous,post,3962
0.5562448820407444,0.17898380031533306,0.9111053958910432,0.9070531306587972,0.39702170620898536,BOVESPA,track_a,purged,pre,3962
0.5514557708433255,0.17365488652067973,0.9101881059556786,0.8918193484238578,0.39475012619888944,BOVESPA,track_a,purged,post,3962
0.5798071912113666,0.1316440899338258,0.8206309555958488,0.8378296074816651,0.26785714285714285,BOVESPA,walk_forward,contiguous,pre,3304
0.5732595433620108,0.12306060517470374,0.8084142201303961,0.8144583295044301,0.2602905569007264,BOVESPA,walk_forward,contiguous,post,3304
0.5699907151763886,0.13620820438111364,0.8143296940704444,0.8369587957633713,0.3032687651331719,BOVESPA,walk_forward,purged,pre,3304
0.5616481602275791,0.12557016413493888,0.8000821727556807,0.8077656819320593,0.3075060532687651,BOVESPA,walk_forward,purged,post,3304
0.5870260866290294,0.15953554099762546,0.805350399126575,0.8997157469843753,0.23323323323323322,FTSE,track_a,contiguous,pre,3996
0.5825937336214455,0.1574489294080805,0.8052772967676117,0.8911936352612833,0.23323323323323322,FTSE,track_a,contiguous,post,3996
0.5719407007964168,0.16423256378517515,0.8052750315453178,0.89383652581536,0.2877877877877878,FTSE,track_a,purged,pre,3996
0.5644208339859225,0.16167778463045326,0.8049349685441723,0.8813092918616108,0.3053053053053053,FTSE,track_a,purged,post,3996
0.535000914944325,0.18582582993866575,0.8268754003252159,0.8992195416241099,0.47960407918416315,FTSE,walk_forward,contiguous,pre,3334
0.5314054223443253,0.18326000049019234,0.8226050301418589,0.8905950233051023,0.4874025194961008,FTSE,walk_forward,contiguous,post,3334
0.525087929345384,0.1909079163853059,0.8252189691269192,0.8992674454605836,0.517996400719856,FTSE,walk_forward,purged,pre,3334
0.5217939537280142,0.18694354372068228,0.8161571572771995,0.8882032994205514,0.517996400719856,FTSE,walk_forward,purged,post,3334
0.6251814198086149,0.1728797049414955,0.8762033420138889,0.964025641493946,0.26633291614518145,MOEX,track_a,contiguous,pre,3995
0.6232440099820956,0.17287010503704084,0.8760980902777777,0.9620694158546956,0.2693366708385482,MOEX,track_a,contiguous,post,3995
0.6097570422229176,0.18450848546796864,0.8776204427083333,0.9713936737401361,0.2846057571964956,MOEX,track_a,purged,pre,3995
0.6065643659391948,0.18354698097028477,0.8771614583333334,0.966316448640953,0.28735919899874846,MOEX,track_a,purged,post,3995
0.6017028997014481,0.1651254497278135,0.8464904160390037,0.9253487811679626,0.2891023716601621,MOEX,walk_forward,contiguous,pre,3331
0.5970421654989733,0.15913925257135395,0.8326660233411224,0.908955100538827,0.2885019513659562,MOEX,walk_forward,contiguous,post,3331
0.5889699377517057,0.17235031115424704,0.8465956577395898,0.9267765476140299,0.33533473431401983,MOEX,walk_forward,purged,pre,3331
0.5835445354526044,0.16465648247497222,0.811571023420603,0.90627124110355,0.33323326328429903,MOEX,walk_forward,purged,post,3331
0.6378665152662124,0.17006558968909344,0.9063799284395198,0.9711950710568356,0.20893262679788038,NIFTY50,track_a,contiguous,pre,3963
0.6335990483533163,0.16931183158370972,0.9066586680517082,0.9654502382573873,0.20741862225586677,NIFTY50,track_a,contiguous,post,3963
0.6205666212966244,0.17902761528063846,0.904158506463527,0.9714607472466759,0.2561191016906384,NIFTY50,track_a,purged,pre,3963
0.6148741993402035,0.17749413994489932,0.9044417590027701,0.9627627136322061,0.25965177895533686,NIFTY50,track_a,purged,post,3963
0.6630263874622887,0.13570910117780804,0.852059719918213,0.9290162257707925,0.10075642965204236,NIFTY50,walk_forward,contiguous,pre,3305
0.6618045368970223,0.13144095790877164,0.8508082249913198,0.9194288143982148,0.09500756429652042,NIFTY50,walk_forward,contiguous,post,3305
0.6521647755390361,0.14478419184197486,0.8550457158288647,0.9359417915493068,0.13373676248108926,NIFTY50,walk_forward,purged,pre,3305
0.650061054241326,0.13978975261554638,0.8536908298290962,0.9240489693677969,0.13010590015128592,NIFTY50,walk_forward,purged,post,3305
0.6931884248350821,0.1568575350846694,0.9755376959087632,1.000629193601034,0.08331190537413216,SHANGHAI,track_a,contiguous,pre,3889
0.6932395067518944,0.1568286187788049,0.9754998118095068,1.000623599558352,0.0848547184366161,SHANGHAI,track_a,contiguous,post,3889
0.6748026221039808,0.16775770453885205,0.9749128050715493,1.0036077230001308,0.14862432501928516,SHANGHAI,track_a,purged,pre,3889
0.6748255501990227,0.1675863143761099,0.9750863831263237,1.0032947263761982,0.14528156338390333,SHANGHAI,track_a,purged,post,3889
0.6626849395619665,0.14444553702101995,0.9500480692196763,0.9457981921231655,0.12372724467756865,SHANGHAI,walk_forward,contiguous,pre,3241
0.6625768938187373,0.14327698824832888,0.9498958500240346,0.9433997907854619,0.12095032397408208,SHANGHAI,walk_forward,contiguous,post,3241
0.6382969309807975,0.1611957517597008,0.9502243230251564,0.9542406044298111,0.171860536871336,SHANGHAI,walk_forward,purged,pre,3241
0.6381554931233033,0.1596897199419698,0.9498077231212948,0.9511473442095641,0.16661524220919469,SHANGHAI,walk_forward,purged,post,3241
