market,seed,model,skewness_diff_from_npz,skewness_diff_recorded,rel_gap,agrees
BOVESPA,42,GARCH,0.14825644,0.14825639,3.102081034701004e-07,True
BOVESPA,42,GJR-GARCH,0.05705218,0.05705218,2.997481909895862e-09,True
BOVESPA,42,TimeGAN,0.47034365,0.19519253,1.409639597311227,False
BOVESPA,42,QuantGAN,0.001440987,1.6837357,0.9991441726923479,False
BOVESPA,42,CNN-WGAN-GP,0.008760199,0.22048272,0.9602680928883337,False
BOVESPA,43,GARCH,0.26715422,0.26715416,2.124853958778015e-07,True
BOVESPA,43,GJR-GARCH,0.45230103,0.45230103,1.0190945160578872e-08,True
BOVESPA,43,TimeGAN,0.13271792,0.16599719,0.20048090976779392,False
BOVESPA,43,QuantGAN,0.19823186,0.25043756,0.20845794458589734,False
BOVESPA,43,CNN-WGAN-GP,0.14260149,0.17089094,0.16554095834014396,False
BOVESPA,44,GARCH,0.026015744,0.026015773,1.1295746198260163e-06,True
BOVESPA,44,GJR-GARCH,0.0062045157,0.0062045157,7.13689909365331e-10,True
BOVESPA,44,TimeGAN,0.45273322,0.54975367,0.17647986111690464,False
BOVESPA,44,QuantGAN,0.15493988,0.00405775,37.183691702711045,False
BOVESPA,44,CNN-WGAN-GP,0.008854844,0.027043521,0.6725706066125694,False
FTSE,42,GARCH,0.66275644,0.66275644,4.562281791487797e-09,True
FTSE,42,GJR-GARCH,0.5991795,0.5991795,1.0517515880967929e-08,True
FTSE,42,TimeGAN,0.52066135,0.09940314,4.237876329308525,False
FTSE,42,QuantGAN,0.61213404,0.900954,0.32057126179360096,False
FTSE,42,CNN-WGAN-GP,0.4114189,0.6546752,0.3715678938274707,False
FTSE,43,GARCH,0.71220064,0.71220064,2.291601460342885e-09,True
FTSE,43,GJR-GARCH,0.87567824,0.87567824,1.4307756668560873e-09,True
FTSE,43,TimeGAN,0.014100134,0.11376375,0.876057756774797,False
FTSE,43,QuantGAN,0.352853,0.3591989,0.01766681311097558,False
FTSE,43,CNN-WGAN-GP,0.57446676,0.30060798,0.9110163506867329,False
FTSE,44,GARCH,0.41388232,0.41388232,1.1696938471809396e-08,True
FTSE,44,GJR-GARCH,0.59361327,0.59361327,5.146641544528936e-09,True
FTSE,44,TimeGAN,0.8157706,0.28566697,1.8556701044860564,False
FTSE,44,QuantGAN,0.69175446,0.40749353,0.6975839109268258,False
FTSE,44,CNN-WGAN-GP,0.6785398,0.22845319,1.9701481190297665,False
MOEX,42,GARCH,0.41705835,0.41705832,6.87090973300996e-08,True
MOEX,42,GJR-GARCH,0.44873065,0.44873065,5.428792712308678e-09,True
MOEX,42,TimeGAN,1.1501095,1.8980049,0.39404290816359894,False
MOEX,42,QuantGAN,0.15851466,0.7753547,0.7955585184727973,False
MOEX,42,CNN-WGAN-GP,0.20440827,0.41609958,0.5087515514895425,False
MOEX,43,GARCH,0.13790208,0.13790202,4.424353308515779e-07,True
MOEX,43,GJR-GARCH,0.013792664,0.013792694,2.1886487636381386e-06,True
MOEX,43,TimeGAN,0.13256912,0.8796275,0.8492894784050966,False
MOEX,43,QuantGAN,0.89314616,1.0461576,0.14626041309195714,False
MOEX,43,CNN-WGAN-GP,0.24309972,0.5981753,0.5935978645625037,False
MOEX,44,GARCH,0.5646209,0.56462085,1.0994110963608423e-07,True
MOEX,44,GJR-GARCH,0.51174855,0.51174855,4.538142270402363e-09,True
MOEX,44,TimeGAN,0.3480154,0.47444963,0.2664861014074474,False
MOEX,44,QuantGAN,1.4431978,0.41205087,2.5024749405641558,False
MOEX,44,CNN-WGAN-GP,0.84180593,0.6479187,0.299246240162548,False
NIFTY50,42,GARCH,0.15414754,0.15414755,9.366016349599956e-08,True
NIFTY50,42,GJR-GARCH,0.20744672,0.20744672,2.0132431398459184e-08,True
NIFTY50,42,TimeGAN,0.4089083,0.2971017,0.3763243614975532,False
NIFTY50,42,QuantGAN,0.15945208,0.15698797,0.015696175487991407,False
NIFTY50,42,CNN-WGAN-GP,0.28612405,0.29781893,0.03926842186553409,False
NIFTY50,43,GARCH,0.14456666,0.14456671,3.7934738505937644e-07,True
NIFTY50,43,GJR-GARCH,0.2982571,0.2982571,4.19203826517218e-08,True
NIFTY50,43,TimeGAN,0.36601704,0.06579933,4.562625692245584,False
NIFTY50,43,QuantGAN,0.14774665,0.02139551,5.905498039763055,False
NIFTY50,43,CNN-WGAN-GP,0.21430364,0.49343693,0.5656919264000613,False
NIFTY50,44,GARCH,0.2668039,0.26680392,1.106929387103719e-07,True
NIFTY50,44,GJR-GARCH,0.12428097,0.12428103,5.083774034424161e-07,True
NIFTY50,44,TimeGAN,0.32570878,0.34183276,0.047169215986151855,False
NIFTY50,44,QuantGAN,0.70104444,0.28213394,1.484793003881313,False
NIFTY50,44,CNN-WGAN-GP,0.012732558,0.6114675,0.9791770487353718,False
SHANGHAI,42,GARCH,0.49892822,0.49892822,1.8440100749643414e-09,True
SHANGHAI,42,GJR-GARCH,0.49083066,0.49083063,6.0848551806608e-08,True
SHANGHAI,42,TimeGAN,0.5318483,0.75531423,0.2958582133104319,False
SHANGHAI,42,QuantGAN,0.14945585,0.310232,0.51824490911322,False
SHANGHAI,42,CNN-WGAN-GP,0.40168503,0.49456537,0.1878019496830828,False
SHANGHAI,43,GARCH,0.68775904,0.68775904,2.597121601611575e-09,True
SHANGHAI,43,GJR-GARCH,0.6956323,0.6956323,3.0304487026417956e-08,True
SHANGHAI,43,TimeGAN,0.36125785,0.379049,0.04693627704120103,False
SHANGHAI,43,QuantGAN,0.65187216,0.2645602,1.4639842200396622,False
SHANGHAI,43,CNN-WGAN-GP,0.18095633,0.20063332,0.09807436832697518,False
SHANGHAI,44,GARCH,0.30717617,0.30717617,8.89817350944445e-09,True
SHANGHAI,44,GJR-GARCH,0.31360805,0.31360805,1.1044821223495822e-09,True
SHANGHAI,44,TimeGAN,2.0082932,0.8755178,1.2938347476835637,False
SHANGHAI,44,QuantGAN,0.55207753,0.67173886,0.178136676781547,False
SHANGHAI,44,CNN-WGAN-GP,0.06143096,0.44432777,0.8617440433812387,False
