market,seed,model,k,mmd2_fixed,sigma_draw,sigma_star,p_2L (valid+test),above_p97_5_2L (valid+test),p_3L,above_p97_5_3L,p_4L,above_p97_5_4L,p_6L,above_p97_5_6L,p_all (exhaustive),above_p97_5_all (exhaustive)
BOVESPA,42,TimeGAN,0,0.43815371314032125,3.1290024230893096,3.024396837253019,0.5,1.0,0.35542168674698793,0.0,0.4124748490945674,0.0,0.20644511581067473,0.0,0.10345697703759778,0.0
BOVESPA,42,TimeGAN,1,0.41514519473515654,3.0624539723606294,3.024396837253019,0.5,1.0,0.37751004016064255,0.0,0.4396378269617706,0.0,0.22004028197381673,0.0,0.1102699974766591,0.0
BOVESPA,42,TimeGAN,2,0.3412759832661496,3.497643062129534,3.024396837253019,0.5,1.0,0.45180722891566266,0.0,0.5412474849094567,0.0,0.27089627391742194,0.0,0.13575574060055515,0.0
BOVESPA,42,TimeGAN,3,0.2501799029244447,3.160955305756766,3.024396837253019,0.5,1.0,0.5783132530120482,0.0,0.7887323943661971,0.0,0.8942598187311178,0.0,0.9470098410295231,0.0
BOVESPA,42,TimeGAN,4,0.45383314819423615,3.52680228621228,3.024396837253019,0.5,1.0,0.3393574297188755,0.0,0.3933601609657948,0.0,0.19687814702920442,0.0,0.0986626293212213,0.0
BOVESPA,42,TimeGAN,5,0.22508311435970185,3.174044462894672,3.024396837253019,0.5,1.0,0.6224899598393574,0.0,0.8108651911468813,0.0,0.905337361530715,0.0,0.9525611910169064,0.0
BOVESPA,42,TimeGAN,6,0.3054065859933728,3.216070884309364,3.024396837253019,0.5,1.0,0.4979919678714859,0.0,0.6016096579476862,0.0,0.31671701913393757,0.0,0.26141811758768607,0.0
BOVESPA,42,TimeGAN,7,0.23033611247827124,3.2668819272569096,3.024396837253019,0.5,1.0,0.6124497991967871,0.0,0.8058350100603622,0.0,0.9028197381671702,0.0,0.9512995205652284,0.0
BOVESPA,42,TimeGAN,8,0.38462489355510343,3.396584806977165,3.024396837253019,0.5,1.0,0.40562248995983935,0.0,0.4798792756539235,0.0,0.24018126888217523,0.0,0.12036336109008328,0.0
BOVESPA,42,TimeGAN,9,0.2741452783989857,3.4110038443570456,3.024396837253019,0.5,1.0,0.5381526104417671,0.0,0.7686116700201208,0.0,0.6958710976837865,0.0,0.6825637143578097,0.0
BOVESPA,42,TimeGAN,10,0.26142675937928916,3.1073396158284474,3.024396837253019,0.5,1.0,0.5562248995983936,0.0,0.7776659959758552,0.0,0.8887210473313192,0.0,0.8993186979560939,0.0
BOVESPA,42,TimeGAN,11,0.32371944741078185,3.1406566355192536,3.024396837253019,0.5,1.0,0.4738955823293173,0.0,0.56841046277666,0.0,0.28449144008056393,0.0,0.17057784506686854,0.0
BOVESPA,42,TimeGAN,12,0.2731468773153115,3.47476728270115,3.024396837253019,0.5,1.0,0.5401606425702812,0.0,0.7696177062374245,0.0,0.7482376636455186,0.0,0.7234418369921777,0.0
BOVESPA,42,TimeGAN,13,0.23814027875951016,3.261875630617669,3.024396837253019,0.5,1.0,0.5983935742971888,0.0,0.7987927565392354,0.0,0.8992950654582075,0.0,0.9495331819328792,0.0
BOVESPA,42,TimeGAN,14,0.23545991749283157,3.2964084140147905,3.024396837253019,0.5,1.0,0.6024096385542169,0.0,0.8008048289738431,0.0,0.9003021148036254,0.0,0.9500378501135504,0.0
BOVESPA,42,TimeGAN,15,0.21664287187995446,3.157900987476797,3.024396837253019,0.5,1.0,0.6385542168674698,0.0,0.8189134808853119,0.0,0.9093655589123867,0.0,0.9545798637395913,0.0
BOVESPA,42,TimeGAN,16,0.26226774506714357,3.1566870184118745,3.024396837253019,0.5,1.0,0.5562248995983936,0.0,0.7776659959758552,0.0,0.8766364551863042,0.0,0.8902346707040121,0.0
BOVESPA,42,TimeGAN,17,0.45543542197837994,3.5314137342105325,3.024396837253019,0.5,1.0,0.3373493975903614,0.0,0.39134808853118713,0.0,0.1958710976837865,0.0,0.09815796114055009,0.0
BOVESPA,42,TimeGAN,18,0.22967722318110684,3.2385737910578793,3.024396837253019,0.5,1.0,0.6144578313253012,0.0,0.806841046277666,0.0,0.9033232628398792,0.0,0.9515518546555639,0.0
BOVESPA,42,TimeGAN,19,0.32372535567985694,3.210750001754587,3.024396837253019,0.5,1.0,0.4738955823293173,0.0,0.56841046277666,0.0,0.28449144008056393,0.0,0.17057784506686854,0.0
BOVESPA,42,GARCH,0,0.1259610659402357,2.7989368567390076,3.024396837253019,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
BOVESPA,42,GARCH,1,0.13754405628892208,2.922836872366656,3.024396837253019,0.5,1.0,0.9036144578313253,0.0,0.9517102615694165,0.0,0.9758308157099698,0.0,0.987887963663891,0.0
BOVESPA,42,GARCH,2,0.23901935683391184,2.897300931628815,3.024396837253019,0.5,1.0,0.5963855421686747,0.0,0.7977867203219315,0.0,0.8987915407854985,0.0,0.9492808478425435,0.0
BOVESPA,42,GARCH,3,0.18411435569444445,3.0223825471574384,3.024396837253019,0.5,1.0,0.7289156626506024,0.0,0.864185110663984,0.0,0.93202416918429,0.0,0.9659348978046934,0.0
BOVESPA,42,GARCH,4,0.3227964019057106,3.1681858895899713,3.024396837253019,0.5,1.0,0.4759036144578313,0.0,0.5704225352112676,0.0,0.2854984894259819,0.0,0.17562452687358063,0.0
BOVESPA,42,GARCH,5,0.16533293808908245,2.9474929382577724,3.024396837253019,0.5,1.0,0.7911646586345381,0.0,0.8953722334004024,0.0,0.9476334340382678,0.0,0.9737572546050971,0.0
BOVESPA,42,GARCH,6,0.2110353634747777,3.1301987427172153,3.024396837253019,0.5,1.0,0.6485943775100401,0.0,0.823943661971831,0.0,0.9118831822759316,0.0,0.9558415341912693,0.0
BOVESPA,42,GARCH,7,0.346395396192564,3.3577130246813045,3.024396837253019,0.5,1.0,0.44779116465863456,0.0,0.5352112676056338,0.0,0.2678751258811682,0.0,0.1342417360585415,0.0
BOVESPA,42,GARCH,8,0.21583865857300122,3.07459367709646,3.024396837253019,0.5,1.0,0.6385542168674698,0.0,0.8189134808853119,0.0,0.9093655589123867,0.0,0.9545798637395913,0.0
BOVESPA,42,GARCH,9,0.1886046112261308,2.9013131889301063,3.024396837253019,0.5,1.0,0.7128514056224899,0.0,0.8561368209255533,0.0,0.9279959718026183,0.0,0.9639162250820086,0.0
BOVESPA,42,GARCH,10,0.25160031343391753,3.148438693473341,3.024396837253019,0.5,1.0,0.5742971887550201,0.0,0.7867203219315896,0.0,0.8932527693856999,0.0,0.9376734796871057,0.0
BOVESPA,42,GARCH,11,0.17343256562246112,3.0530558689450262,3.024396837253019,0.5,1.0,0.7630522088353414,0.0,0.8812877263581489,0.0,0.9405840886203424,0.0,0.9702245773403987,0.0
BOVESPA,42,GARCH,12,0.23772895764771063,3.0343252813226433,3.024396837253019,0.5,1.0,0.5983935742971888,0.0,0.7987927565392354,0.0,0.8992950654582075,0.0,0.9495331819328792,0.0
BOVESPA,42,GARCH,13,0.2398476713229074,3.080289524671133,3.024396837253019,0.5,1.0,0.5943775100401606,0.0,0.7967806841046278,0.0,0.8982880161127895,0.0,0.9490285137522079,0.0
BOVESPA,42,GARCH,14,0.4050187624270495,3.072707708190371,3.024396837253019,0.5,1.0,0.3855421686746988,0.0,0.45271629778672035,0.0,0.22658610271903323,0.0,0.11355034065102196,0.0
BOVESPA,42,GARCH,15,0.10693021054418983,2.8121639778171135,3.024396837253019,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
BOVESPA,42,GARCH,16,0.30498390362207783,3.0460173394835466,3.024396837253019,0.5,1.0,0.4979919678714859,0.0,0.6016096579476862,0.0,0.31722054380664655,0.0,0.26318445622003533,0.0
BOVESPA,42,GARCH,17,0.19042757077353567,2.9449524640245044,3.024396837253019,0.5,1.0,0.7048192771084337,0.0,0.852112676056338,0.0,0.9259818731117825,0.0,0.9629068887206662,0.0
BOVESPA,42,GARCH,18,0.34390114176709186,3.1853102326496336,3.024396837253019,0.5,1.0,0.4497991967871486,0.0,0.5382293762575453,0.0,0.26938569989929506,0.0,0.1349987383295483,0.0
BOVESPA,42,GARCH,19,0.28484608225223007,2.976101018893864,3.024396837253019,0.5,1.0,0.5240963855421686,0.0,0.6539235412474849,0.0,0.41440080563947634,0.0,0.46379005803684076,0.0
BOVESPA,42,QuantGAN,0,0.40634428116107746,3.352148917418771,3.024396837253019,0.5,1.0,0.3855421686746988,0.0,0.4507042253521127,0.0,0.2255790533736153,0.0,0.11304567247035074,0.0
BOVESPA,42,QuantGAN,1,0.23648096932193452,3.168912501446233,3.024396837253019,0.5,1.0,0.6004016064257028,0.0,0.7997987927565392,0.0,0.8997985901309165,0.0,0.9497855160232147,0.0
BOVESPA,42,QuantGAN,2,0.14425393871357484,3.0007235873882503,3.024396837253019,0.5,1.0,0.8775100401606426,0.0,0.9386317907444668,0.0,0.9692849949647533,0.0,0.9846076204895281,0.0
BOVESPA,42,QuantGAN,3,0.23542485053215856,3.0372507456256477,3.024396837253019,0.5,1.0,0.6024096385542169,0.0,0.8008048289738431,0.0,0.9003021148036254,0.0,0.9500378501135504,0.0
BOVESPA,42,QuantGAN,4,0.29839418982845256,3.2964759909074983,3.024396837253019,0.5,1.0,0.5060240963855421,0.0,0.6146881287726358,0.0,0.33081570996978854,0.0,0.31213726974514255,0.0
