commit_drift_accepted,draw,model,mean_diff,std_diff,skewness_diff,kurtosis_diff,wasserstein,energy_distance,quantile_mse,acf_returns_mae,acf_absolute_mae,acf_squared_mae,tail_index_diff,extreme_events_diff,arch_pvalue_diff,arch_stat_diff,hurst_diff,resid_kurtosis_diff,discriminative_auc_dist,discriminative_auc_raw,discriminative_auc_absz,mean_diff_rank,std_diff_rank,wasserstein_rank,energy_distance_rank,quantile_mse_rank,acf_returns_mae_rank,acf_absolute_mae_rank,acf_squared_mae_rank,tail_index_diff_rank,extreme_events_diff_rank,hurst_diff_rank,resid_kurtosis_diff_rank,discriminative_auc_dist_rank,discriminative_auc_absz_rank,fidelity_rank,temporal_rank,composite_rank,avg_rank
True,0,CNN-WGAN-GP,0.0010170613,0.0010955157,0.24488783,3.5442998,0.0017780496986553132,0.00015264563262462616,6.505786329593042e-06,0.05542766470927745,0.04212259487248957,0.0483856529800687,2.3409204,1.3972055888223558,0.00014298687592207977,8.674223126897374,0.0281643266703151,1.460215248458237,0.10052978235967913,0.6005297823596791,2.013754574292422,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,2.142857142857143,2.2857142857142856,2.2142857142857144,2.2142857142857144
True,0,GARCH,0.00041859952,0.0031267884,0.66275644,3.6426249,0.001966678522600529,0.00014352891594171524,2.771138171438355e-05,0.05459696553414688,0.07513664639554918,0.05268006975267781,1.978827,0.0,0.6579934405773755,30.29797127544709,0.011759571139516312,1.655425311233023,0.19369294995704467,0.6936929499570447,1.0013844202571736,1.0,4.0,2.0,1.0,3.0,3.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.142857142857143,3.0,2.571428571428571,2.5714285714285716
True,0,GJR-GARCH,0.00066013704,0.0028570634,0.5991795,3.435973,0.0020300897208163117,0.00017041899263858795,2.3622832206026678e-05,0.05114463969599456,0.0704265816998668,0.054208247180795296,2.3764272,1.5968063872255494,1.799214461353818e-05,4.339989387539706,0.02933992754542525,1.5553724018301143,0.2111994827462771,0.7111994827462771,0.8111473152560387,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.142857142857143,3.0,3.071428571428571,3.0714285714285716
True,0,TimeGAN,0.001032537,0.0024402486,0.5515644,4.90763,0.00228187336064522,0.0002244226634502411,3.372948247429077e-05,0.09409265922848135,0.06344695776235312,0.06590597875299864,1.8045545,1.9960079840319356,0.003383822412830203,15.898756300617698,0.0036030825203412498,2.773294920709247,0.24994451603665513,0.7499445160366551,0.39011917364323634,4.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,1.0,3.5714285714285716,3.4285714285714284,3.5,3.5
True,0,QuantGAN,0.0012622043,0.006950777,0.70752263,2.7159686,0.005724738018991317,0.0009993910789489746,0.00013285659480827806,0.048019202288705855,0.06847840252332389,0.06367175465449691,1.7580442,1.1976047904191622,2.8983120028440124e-06,25.249480624682548,0.07496019391801578,1.8755172330359438,0.24892880154639163,0.7489288015463916,0.4011565724509704,5.0,5.0,5.0,5.0,5.0,1.0,3.0,4.0,1.0,2.0,5.0,4.0,4.0,2.0,4.0,3.2857142857142856,3.642857142857143,3.642857142857143
True,0,CONTROL: shuffled real,0.0,9.313226e-10,0.0,1.4305115e-06,0.0,4.470348358154297e-08,0.0,0.04992907222127542,0.08614010082092136,0.07594864338869228,0.0,0.0,0.7550702432035004,30.92950130427689,0.10478975324002748,1.980888486642093,0.20145511168384878,0.7014551116838488,0.9170358406020375,,,,,,,,,,,,,,,,,,
True,1,GARCH,0.00016392325,0.0016495083,0.64317477,1.7122884,0.0012364683684114501,7.285922765731812e-05,1.2328763779119609e-05,0.05831596245174296,0.046056945752352474,0.049791116821579634,0.13368654,0.19960079840319356,0.00011626549653525386,8.219408633397428,0.026987691778230016,1.1920716118106016,0.024653448954753743,0.5246534489547537,2.8382750078263546,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,2.4285714285714284,2.2142857142857144,2.2142857142857144
True,1,CNN-WGAN-GP,7.963134e-05,0.0018028831,0.4553604,3.6232817,0.0010161842835010744,3.11192125082016e-05,1.1435292947380148e-05,0.05278491728939116,0.06515437264140927,0.052627721470780674,1.7606893,0.9980039920159687,0.171068518414193,25.82938621455341,0.04025330305723429,1.7906774311022344,0.04322469215349378,0.5432246921534938,2.636468083237992,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.5,4.0,3.0,2.0,4.0,2.2142857142857144,3.0,2.607142857142857,2.607142857142857
True,1,GJR-GARCH,0.0005034464,0.0023411233,0.56855327,2.8333664,0.0016959565185909133,0.00013117771595716476,1.378035286294691e-05,0.05417713059476228,0.04853908637538552,0.04654439625795931,2.5308785,2.19560878243513,0.005018776304936506,16.831537128156633,0.022222478609644547,1.1558542993972138,0.1549089884020619,0.6549089884020619,1.4228355811194344,4.0,5.0,4.0,4.0,5.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,4.0,2.0,4.571428571428571,2.0,3.2857142857142856,3.2857142857142856
True,1,QuantGAN,0.00036198774,0.0018869499,0.29394135,1.5840297,0.0015379598205295692,7.58785754442215e-05,1.2575387021302375e-05,0.051435537445358934,0.07886217276565731,0.09345707953441888,0.23094225,0.9980039920159687,2.8983333035299106e-06,165.8417942771328,0.053411172933145123,1.8541362037722493,0.05862775630011463,0.5586277563001146,2.4690886045783342,3.0,4.0,3.0,3.0,4.0,1.0,5.0,4.0,2.0,3.5,5.0,4.0,3.0,3.0,3.2142857142857144,3.5714285714285716,3.3928571428571432,3.392857142857143
