frame,scenario,generator,baseline,margin_generator_minus_baseline,ci_lo,ci_hi,generator_ahead_significant,baseline_ahead_significant,units_generator_ahead,n_units
A,S0,TimeGAN,iid,0.5082142857142857,-0.03667261904761902,1.0257261904761903,False,False,3,15
A,S0,QuantGAN,iid,-0.6046428571428574,-0.9589345238095236,-0.26783333333333387,True,False,11,15
A,S0,CNN-WGAN-GP,iid,-1.0752380952380955,-1.457142857142857,-0.7034523809523809,True,False,14,15
A,S0,GARCH,iid,-0.5617857142857142,-0.9242916666666664,-0.2085654761904765,True,False,10,15
A,S0,GJR-GARCH,iid,-0.9847619047619048,-1.4407142857142856,-0.5520119047619051,True,False,12,15
A,S0,TimeGAN,sb_r,0.8266666666666668,0.3272440476190475,1.2675297619047614,False,True,2,15
A,S0,QuantGAN,sb_r,-0.2861904761904762,-0.5460714285714284,-0.03785119047619052,True,False,10,15
A,S0,CNN-WGAN-GP,sb_r,-0.7567857142857145,-1.0528630952380957,-0.4695238095238095,True,False,14,15
A,S0,GARCH,sb_r,-0.24333333333333348,-0.49619047619047646,-0.0017857142857145253,True,False,9,15
A,S0,GJR-GARCH,sb_r,-0.666309523809524,-1.0151309523809526,-0.3403571428571431,True,False,13,15
A,S4,TimeGAN,iid,0.6422142857142856,0.08743809523809537,1.162317857142857,False,True,3,15
A,S4,QuantGAN,iid,-0.4130714285714288,-0.7665750000000001,-0.06749642857142898,True,False,11,15
A,S4,CNN-WGAN-GP,iid,-0.949,-1.3138892857142856,-0.5827273809523813,True,False,13,15
A,S4,GARCH,iid,-0.4624047619047621,-0.8549892857142855,-0.06692261904761948,True,False,11,15
A,S4,GJR-GARCH,iid,-0.8644761904761907,-1.3190571428571432,-0.4177607142857145,True,False,12,15
A,S4,TimeGAN,sb_r,0.9110952380952381,0.39944642857142865,1.3629345238095238,False,True,2,15
A,S4,QuantGAN,sb_r,-0.1441904761904763,-0.39355119047619064,0.114738095238095,False,False,8,15
A,S4,CNN-WGAN-GP,sb_r,-0.6801190476190475,-0.9587642857142857,-0.3812369047619046,True,False,13,15
A,S4,GARCH,sb_r,-0.19352380952380954,-0.4739285714285713,0.10385833333333332,False,False,11,15
A,S4,GJR-GARCH,sb_r,-0.5955952380952383,-0.9327880952380952,-0.25311904761904785,True,False,12,15
B,S0,TimeGAN,sb_abs,1.0936904761904762,0.6326130952380953,1.516434523809524,False,True,2,15
B,S0,QuantGAN,sb_abs,-0.020714285714285848,-0.1876190476190477,0.14642857142857124,False,False,7,15
B,S0,CNN-WGAN-GP,sb_abs,-0.4673809523809525,-0.6613154761904765,-0.2734464285714288,True,False,14,15
B,S0,GARCH,sb_abs,0.022142857142856798,-0.11892857142857156,0.1679821428571424,False,False,7,15
B,S0,GJR-GARCH,sb_abs,-0.40000000000000013,-0.5979821428571434,-0.20142857142857162,True,False,12,15
B,S4,TimeGAN,sb_abs,1.1284047619047621,0.6542190476190476,1.5549583333333339,False,True,2,15
B,S4,QuantGAN,sb_abs,0.060476190476190614,-0.0974773809523809,0.2101690476190478,False,False,5,15
B,S4,CNN-WGAN-GP,sb_abs,-0.44880952380952366,-0.632217857142857,-0.255939285714286,True,False,13,15
B,S4,GARCH,sb_abs,0.0018095238095237793,-0.18071547619047623,0.1867642857142858,False,False,8,15
B,S4,GJR-GARCH,sb_abs,-0.3990952380952381,-0.6228821428571429,-0.17233095238095242,True,False,12,15
