market,seed,draw,model,mean_diff,std_diff,skewness_diff,kurtosis_diff,wasserstein,energy_distance,quantile_mse,acf_returns_mae,acf_absolute_mae,acf_squared_mae,tail_index_diff,extreme_events_diff,arch_pvalue_diff,arch_stat_diff,hurst_diff,resid_kurtosis_diff,discriminative_auc_dist,discriminative_auc_raw,discriminative_auc_absz
BOVESPA,42,0,GARCH,0.00046150712,0.0012465455,0.14825644,0.8219614,0.0013849094977536702,0.00011014938354492188,3.878085628729825e-06,0.05231891355884727,0.0545226150425151,0.0496959182809951,0.91396093,0.806451612903226,0.008928500779435189,0.06365707701041501,0.0065921629945854265,1.0395390532538022,0.12551915974145889,0.6255191597414589,0.4245620383077103
BOVESPA,42,0,sb_r,0.00050042756,0.003656025,0.43603802,2.4311776,0.003008878953608019,0.0003358321264386177,2.12595718732096e-05,0.051551932354923335,0.037099451180401956,0.03154196177281847,0.29200768,1.814516129032259,0.14366957375410305,1.3437591898677903,0.03155955888125139,0.8654421832142578,0.2727347645429361,0.7727347645429361,1.6160921804714787
BOVESPA,42,0,GJR-GARCH,0.00079479907,0.0020875856,0.05705218,0.7373049,0.0019069529900731697,0.0001750616356730461,9.16302072482477e-06,0.05174342893704306,0.05738526077358983,0.05645071977014595,1.7946234,0.20161290322580605,0.8319649488890509,14.768932256868979,0.03517368136292931,0.9207912168223471,0.15558217913204064,0.6555821791320406,0.6678853858335193
BOVESPA,42,0,sb_abs,0.00015906012,0.0060503297,0.035446733,0.7847681,0.00485102487083982,0.0007215645164251328,7.783874877054207e-05,0.049083507420727986,0.05327869954140624,0.04923996317003912,1.6699572,0.403225806451613,0.44711676204805656,3.131310578042706,0.021295614937215324,0.9047650604012314,0.3473118651892889,0.8473118651892889,2.219702534517443
BOVESPA,42,0,CNN-WGAN-GP,3.9171777e-05,0.003994843,0.18860471,0.54657483,0.003220182552279165,0.00035337917506694794,4.1655969964664334e-05,0.06131609215321077,0.06395488660549745,0.0699293260815466,0.35959148,0.403225806451613,0.8367426918656887,37.81199631562215,0.022141541671646392,1.1711527191803413,0.25353162511542016,0.7535316251154202,1.4606662697270687
BOVESPA,42,0,iid,0.0024015428,0.008539271,2.328545,13.484278,0.004658458909483627,0.0005261339247226715,0.0002696081867615493,0.04911849794909358,0.042348688743513774,0.0357842408419674,2.2982855,2.6209677419354844,0.12949371665661658,1.1352896465665978,0.10772676448599572,13.336767931687303,0.411180055401662,0.911180055401662,2.7366373653467897
BOVESPA,42,0,TimeGAN,0.0019585942,0.0035545877,0.8315387,1.5232389,0.002734160525782895,0.00048730894923210144,7.143621537970081e-05,0.07176559555577114,0.08826822028961033,0.07571623254836596,5.946095,4.838709677419354,0.836742848249999,81.2603072834343,0.06363828324521181,1.7996366251997866,0.4303393351800555,0.9303393351800555,2.8917082859118324
BOVESPA,42,0,QuantGAN,0.0030274312,0.022204764,0.8892884,6.2811,0.013012973294737114,0.002500336617231369,0.001879823364870513,0.07045074501773342,0.19354271236341447,0.14547936027600372,1.8977215,1.008064516129033,0.8367428482499992,203.49226485800386,0.10827985868970336,1.1510410975261633,0.42369067405355487,0.9236906740535549,2.837895511458057
BOVESPA,42,0,CONTROL: shuffled real,5.820766e-11,0.0,1.4901161e-08,4.7683716e-07,0.0,9.313225746154785e-10,0.0,0.05278673306223936,0.0469244609028101,0.04561871855483332,0.0,0.0,0.11506580147570744,0.7705493251024969,0.07495434916529742,0.10406790326354542,0.17972922437673133,0.32027077562326867,2.046050034468682
BOVESPA,42,1,GJR-GARCH,0.00027376806,0.0027910005,0.15223114,0.3214326,0.002100174836612033,0.00015561748296022415,1.4756992566541664e-05,0.0528072302005603,0.048141986136324706,0.04961309884522052,1.1523991,0.4032258064516121,0.8209433283942442,11.8815628939558,0.033189506357228726,0.3658022529339968,0.16809141274238226,0.6680914127423823,0.7691323217285962
