frame,scenario,entry,best_generator,best_generator_composite,entry_composite,margin_best_minus_entry,ci_lo,ci_hi,excludes_zero,p_entry_ahead,two_level_ci_lo,two_level_ci_hi,two_level_excludes_zero
A,S0,CONTROL: shuffled real,CNN-WGAN-GP,4.133333333333334,2.5766666666666667,1.556666666666667,1.287380952380953,1.8438095238095236,True,1.0,1.2741607142857163,1.8569166666666657,True
A,S0,iid,CNN-WGAN-GP,4.133333333333334,5.208571428571429,-1.0752380952380953,-1.4571428571428573,-0.7034523809523803,True,0.0,-1.4803630952380953,-0.6878571428571448,True
A,S0,sb_r,CNN-WGAN-GP,4.133333333333334,4.890119047619048,-0.756785714285714,-1.0528630952380955,-0.4695238095238085,True,0.0,-1.0822738095238174,-0.44654761904762585,True
A,S4,CONTROL: shuffled real,CNN-WGAN-GP,4.133333333333334,2.7392857142857143,1.3940476190476194,0.9751416666666674,1.8042904761904752,True,1.0,0.966735714285711,1.810654761904764,True
A,S4,iid,CNN-WGAN-GP,4.133333333333334,5.082333333333334,-0.9489999999999998,-1.3159333333333343,-0.5857226190476181,True,0.0,-1.3324130952380897,-0.5648511904761931,True
A,S4,sb_r,CNN-WGAN-GP,4.133333333333334,4.8134523809523815,-0.6801190476190477,-0.9610249999999994,-0.38489642857142975,True,0.0,-0.9932892857142823,-0.3585047619047632,True
B,S0,CONTROL: shuffled real,CNN-WGAN-GP,4.189761904761905,2.602738095238095,1.58702380952381,1.3246369047619055,1.8701249999999991,True,1.0,1.3108273809523816,1.885839285714283,True
B,S0,iid,CNN-WGAN-GP,4.189761904761905,5.226666666666668,-1.036904761904763,-1.4091785714285714,-0.6748809523809535,True,0.0,-1.4345476190476154,-0.6553571428571474,True
B,S0,sb_abs,CNN-WGAN-GP,4.189761904761905,4.6571428571428575,-0.46738095238095223,-0.6591726190476181,-0.2689285714285718,True,0.0,-0.7284523809523816,-0.20808333333333495,True
B,S4,CONTROL: shuffled real,CNN-WGAN-GP,4.1855238095238105,2.7557857142857145,1.429738095238096,1.032721428571428,1.8233630952380961,True,1.0,1.0147952380952303,1.839914285714279,True
B,S4,iid,CNN-WGAN-GP,4.1855238095238105,5.095428571428571,-0.9099047619047607,-1.2627714285714287,-0.5442845238095241,True,0.0,-1.286333333333329,-0.5295464285714224,True
B,S4,sb_abs,CNN-WGAN-GP,4.1855238095238105,4.634333333333333,-0.44880952380952266,-0.635384523809523,-0.2576904761904774,True,0.0,-0.708429761904769,-0.19218928571428429,True
C,S0,CONTROL: shuffled real,CNN-WGAN-GP,4.570833333333334,2.826666666666667,1.7441666666666666,1.4447559523809514,2.0562023809523824,True,1.0,1.4296369047619062,2.0781011904761884,True
C,S0,iid,CNN-WGAN-GP,4.570833333333334,5.783333333333333,-1.2124999999999995,-1.6510892857142878,-0.7902380952380952,True,0.0,-1.6690476190476167,-0.7689226190476173,True
C,S0,sb_r,CNN-WGAN-GP,4.570833333333334,5.427619047619047,-0.8567857142857136,-1.1942916666666663,-0.5366666666666671,True,0.0,-1.2248809523809456,-0.5014940476190471,True
C,S0,sb_abs,CNN-WGAN-GP,4.570833333333334,5.119642857142856,-0.5488095238095223,-0.7706011904761902,-0.3261785714285713,True,0.0,-0.8448809523809536,-0.24988095238095198,True
C,S4,CONTROL: shuffled real,CNN-WGAN-GP,4.578261904761905,3.015571428571428,1.5626904761904767,1.1007583333333337,2.0135059523809518,True,1.0,1.0967130952380955,2.0256499999999975,True
C,S4,iid,CNN-WGAN-GP,4.578261904761905,5.637523809523809,-1.0592619047619038,-1.476910714285714,-0.6409999999999997,True,0.0,-1.4954511904761847,-0.6188880952380955,True
C,S4,sb_r,CNN-WGAN-GP,4.578261904761905,5.335904761904763,-0.7576428571428577,-1.0786011904761925,-0.4176107142857166,True,0.0,-1.1109607142857167,-0.3929976190476229,True
C,S4,sb_abs,CNN-WGAN-GP,4.578261904761905,5.111880952380953,-0.5336190476190481,-0.749630952380953,-0.31375952380952477,True,0.0,-0.8275869047619068,-0.2401892857142853,True
P,S0,CONTROL: shuffled real,GJR-GARCH,3.98202380952381,2.6384523809523808,1.3435714285714293,0.8597619047619061,1.8782202380952397,True,1.0,0.8580892857142886,1.8784880952380891,True
P,S0,iid,GJR-GARCH,3.98202380952381,5.26857142857143,-1.2865476190476195,-1.8607202380952386,-0.64142261904762,True,0.0,-1.878476190476186,-0.6447559523809441,True
P,S0,sb_r,GJR-GARCH,3.98202380952381,4.929404761904762,-0.9473809523809522,-1.4935892857142854,-0.34225595238095197,True,0.0007500375018750937,-1.5115535714285688,-0.3317678571428478,True
P,S4,CONTROL: shuffled real,GJR-GARCH,3.9347380952380955,2.815404761904761,1.1193333333333344,0.503061904761905,1.746055952380952,True,0.999849992499625,0.49754047619047664,1.7510107142857176,True
P,S4,iid,GJR-GARCH,3.9347380952380955,5.188904761904762,-1.2541666666666669,-1.8303726190476186,-0.6359440476190471,True,0.0001000050002500125,-1.831026190476198,-0.6280142857142881,True
P,S4,sb_r,GJR-GARCH,3.9347380952380955,4.88997619047619,-0.9552380952380948,-1.5072880952380943,-0.3591654761904755,True,0.001000050002500125,-1.5152297619047612,-0.35449761904761884,True
