market,seed,window,train_len,model,unconstrained_persistence,constraint_applied,constrained_persistence,loglikelihood_change,stationarity_tol,stationarity_delta
NIFTY50,44,main,3963,GARCH,0.9905321430401564,False,,,1e-06,0.0001
NIFTY50,44,main,3963,GJR-GARCH,0.9841593019922832,False,,,1e-06,0.0001
NIFTY50,44,fold 0,829,GARCH,1.0,True,0.9998999999999998,-0.0005809693905121094,1e-06,0.0001
NIFTY50,44,fold 1,1654,GARCH,0.9946218603667795,False,,,1e-06,0.0001
NIFTY50,44,fold 2,2479,GARCH,0.9913468270662095,False,,,1e-06,0.0001
NIFTY50,44,fold 3,3304,GARCH,0.9924004681702279,False,,,1e-06,0.0001
NIFTY50,44,fold 4,4129,GARCH,0.9899958156800255,False,,,1e-06,0.0001
NIFTY50,44,fold 0,829,GJR-GARCH,0.9927746136584971,False,,,1e-06,0.0001
NIFTY50,44,fold 1,1654,GJR-GARCH,0.9899645177641683,False,,,1e-06,0.0001
NIFTY50,44,fold 2,2479,GJR-GARCH,0.9859673106308252,False,,,1e-06,0.0001
NIFTY50,44,fold 3,3304,GJR-GARCH,0.9881401183330807,False,,,1e-06,0.0001
NIFTY50,44,fold 4,4129,GJR-GARCH,0.9837127037339318,False,,,1e-06,0.0001
