mean,sd,p97_5,mean_plus_1_96sd,frac_lt_0_5,p2_5,n,market,length,scheme,null,L,independent_blocks,nan
0.5709788872928556,0.17685071744767575,0.91478324099723,0.9176062934903001,0.32937910146390714,0.2369110110803324,3962,BOVESPA,track_a,contiguous,full-series sliding,496,4.992943548387097,0
0.5240727339181287,0.1350781573446483,0.7623303554939979,0.7888259223136393,0.4033333333333333,0.22981355609418283,300,BOVESPA,track_a,contiguous,stationary GARCH-t,496,,0
0.5562448820407444,0.17898380031533306,0.9111053958910432,0.9070531306587972,0.39702170620898536,0.2330762523084026,3962,BOVESPA,track_a,purged,full-series sliding,496,4.992943548387097,0
0.5027760257002154,0.13979221036912054,0.756962165281625,0.7767687580236917,0.4766666666666667,0.21827729686057246,300,BOVESPA,track_a,purged,stationary GARCH-t,496,,0
0.7006794642012321,0.100663062307862,0.915789704524469,0.8979790663246416,0.00933871781928319,0.5579875000000002,3962,BOVESPA,track_a,shuffled,full-series sliding,496,4.992943548387097,0
0.6687607748538011,0.06617878695876196,0.8040451061865189,0.7984711972929746,0.006666666666666667,0.550351370614035,300,BOVESPA,track_a,shuffled,stationary GARCH-t,496,,0
0.5798071912113666,0.1316440899338258,0.8206309555958488,0.8378296074816651,0.26785714285714285,0.32475348173295787,3304,BOVESPA,walk_forward,contiguous,full-series sliding,825,3.001818181818182,0
0.5133350179391227,0.11409813045793157,0.7157003973612127,0.7369673536366685,0.44,0.28208981134987077,300,BOVESPA,walk_forward,contiguous,stationary GARCH-t,825,,0
0.5699907151763886,0.13620820438111364,0.8143296940704444,0.8369587957633713,0.3032687651331719,0.3215607036765557,3304,BOVESPA,walk_forward,purged,full-series sliding,825,3.001818181818182,0
0.5025004565153093,0.11679232635971815,0.7135662204390261,0.7314134161803568,0.48333333333333334,0.2694014505613209,300,BOVESPA,walk_forward,purged,stationary GARCH-t,825,,0
0.6788377189192755,0.06902146833560345,0.8395277959955245,0.8141197968570583,0.0,0.5806596967709581,3304,BOVESPA,walk_forward,shuffled,full-series sliding,825,3.001818181818182,0
0.6319451538649486,0.05805447048871417,0.7554756760927432,0.7457319160228284,0.0033333333333333335,0.530328691022723,300,BOVESPA,walk_forward,shuffled,stationary GARCH-t,825,,0
0.5870260866290294,0.15953554099762546,0.805350399126575,0.8997157469843753,0.23323323323323322,0.1782761546481243,3996,FTSE,track_a,contiguous,full-series sliding,501,4.987025948103793,0
0.5534239474453513,0.15927052049031407,0.8544412787263743,0.8655941676063669,0.35333333333333333,0.2266306636150487,300,FTSE,track_a,contiguous,stationary GARCH-t,501,,0
0.5719407007964168,0.16423256378517515,0.8052750315453178,0.89383652581536,0.2877877877877878,0.1797108233999141,3996,FTSE,track_a,purged,full-series sliding,501,4.987025948103793,0
0.5289982027372089,0.16649010478048035,0.8570394439522476,0.8553188081069504,0.44333333333333336,0.20826621004259738,300,FTSE,track_a,purged,stationary GARCH-t,501,,0
