frame,scenario,model,seed_sd_mean_over_markets,seed_sd_max_over_markets,seed_sd_BOVESPA,seed_sd_FTSE,seed_sd_MOEX,seed_sd_NIFTY50,seed_sd_SHANGHAI,margins_by_seed
P,S0,TimeGAN,0.698323871492174,1.193092363463576,0.41239304942116184,1.193092363463576,0.8278732690816053,0.28867513459481275,0.7695855408997141,
P,S0,QuantGAN,0.6506414136487078,0.788145588954068,0.5965461817317882,0.5900968443520823,0.788145588954068,0.7423074889580902,0.5361109642475095,
P,S0,CNN-WGAN-GP,0.6824259619331285,1.0057234171663372,0.743452142666476,0.5944041777533299,0.560536065094931,0.5080140069845686,1.0057234171663372,
P,S0,GARCH,0.8047203812622991,1.1021392309294418,1.1021392309294418,0.7379992257061366,0.769585540899714,0.4460712855998856,0.9678066231763168,
P,S0,GJR-GARCH,0.5596305008159227,0.7511329311593979,0.2575393768188563,0.6813851438692466,0.5747670335511098,0.5333280186810028,0.7511329311593979,
P,S0,MARGIN second-first by seed 42/43/44,0.27639565449393266,,,,,,,0.400;-0.071;-0.086
P,S1,TimeGAN,0.7380335649652583,1.3795148511305693,0.41239304942116184,1.3795148511305693,0.8278732690816053,0.32208926805877813,0.7482973871341774,
P,S1,QuantGAN,0.7015582013756013,0.788145588954068,0.5965461817317882,0.7778283916152205,0.788145588954068,0.7225709954996913,0.6226998490772389,
P,S1,CNN-WGAN-GP,0.6804681559559622,0.9205237343915859,0.743452142666476,0.6517245568176665,0.560536065094931,0.5261042808091516,0.9205237343915859,
P,S1,GARCH,0.840623682392026,1.1021392309294418,1.1021392309294418,0.9478313952077634,0.769585540899714,0.4755948656056708,0.9079673793175401,
P,S1,GJR-GARCH,0.5567370226718508,0.8278732690816047,0.2575393768188563,0.8278732690816047,0.5747670335511098,0.44368202746629104,0.6798234064413922,
P,S1,MARGIN second-first by seed 42/43/44,0.22192724186154392,,,,,,,-0.229;0.200;0.086
F,S0,TimeGAN,0.4551252857990753,0.7522210593361794,0.18291154324716977,0.7522210593361794,0.13364255172905473,0.6293657048776891,0.5774855698052835,
F,S0,QuantGAN,0.18740523957761174,0.2777938629129679,0.10608104814485085,0.2200876255612069,0.11002087000535268,0.2777938629129679,0.22304279126368048,
F,S0,CNN-WGAN-GP,0.1932301701945403,0.2949691555418777,0.15731862464394974,0.2949691555418777,0.19685829618156853,0.08038359353029402,0.23662118107501154,
F,S0,GARCH,0.0989744868525266,0.21202177079846557,0.02779832006865624,0.12083626550512262,0.07681339478923996,0.21202177079846557,0.05740268310114859,
F,S0,GJR-GARCH,0.12310627256645208,0.25598283318291826,0.25598283318291826,0.1280287821062868,0.05869361529323687,0.08799060710539218,0.08483552514442637,
F,S0,MARGIN second-first by seed 42/43/44,0.03561235454050143,,,,,,,0.049;0.030;-0.020
F,S1,TimeGAN,0.4791543985554266,0.8497279726777389,0.18291154324716977,0.8497279726777389,0.12311072252245131,0.6500032705307568,0.590018483799016,
F,S1,QuantGAN,0.18830429747891744,0.28018648126866186,0.10608104814485085,0.22145017175750528,0.10183269592416617,0.28018648126866186,0.23197109029940302,
F,S1,CNN-WGAN-GP,0.2040120979733981,0.3347313370857454,0.15731862464394974,0.3347313370857454,0.1927441247328894,0.08392857142857135,0.2513378319758346,
F,S1,GARCH,0.10428069968838001,0.20237745095010284,0.02779832006865624,0.15267944165722508,0.07012955697781603,0.20237745095010284,0.06841872878809986,
F,S1,GJR-GARCH,0.13176241143060177,0.25598283318291826,0.25598283318291826,0.14714906944814798,0.058421337891976184,0.11900594508673257,0.07825287154323392,
F,S1,MARGIN second-first by seed 42/43/44,0.03805373483239023,,,,,,,0.059;0.057;-0.008
F,S2,TimeGAN,0.4794333008314055,0.8586674189664811,0.19074014449268015,0.8586674189664811,0.14395781340662367,0.6376808800347591,0.5661202472564832,
F,S2,QuantGAN,0.17573191179099953,0.2795218067990236,0.1104980607457499,0.20226975236324496,0.07379992257061407,0.2795218067990236,0.21257001647636511,
F,S2,CNN-WGAN-GP,0.20019454748596788,0.3416708146421515,0.16021085171361782,0.3416708146421515,0.17218027157130197,0.08482299497300501,0.24208780452976308,
F,S2,GARCH,0.11273487840796692,0.2065673450166092,0.03215938728390516,0.16619938746745685,0.08091079113720835,0.2065673450166092,0.07783748113465502,
F,S2,GJR-GARCH,0.1283810332725717,0.2720466021502503,0.2720466021502503,0.15980230665069994,0.05203143672976251,0.08340133280065258,0.07462348803149314,
F,S2,MARGIN second-first by seed 42/43/44,0.031000192011694495,,,,,,,0.091;0.056;0.030
F,S3,TimeGAN,0.4586367267811914,0.8283054815166362,0.11522483279973292,0.8283054815166362,0.1361261503098722,0.6195845313567783,0.5939426379229372,
F,S3,QuantGAN,0.18210460215333463,0.2716484333015608,0.09196444624221876,0.23283398341350323,0.10665951382621588,0.2716484333015608,0.20741663398317445,
F,S3,CNN-WGAN-GP,0.20558524144188012,0.35179645727962866,0.16331992691057984,0.35179645727962866,0.1863513569344009,0.087267534845119,0.23919093123967244,
F,S3,GARCH,0.11915354942560566,0.2156211145541462,0.05827661641828545,0.12909441326371657,0.1059830301666053,0.2156211145541462,0.08679257272527476,
F,S3,GJR-GARCH,0.1194861749315593,0.2404543346189397,0.2404543346189397,0.13364697026352598,0.05912165737164661,0.07587904480596179,0.08832886759772254,
F,S3,MARGIN second-first by seed 42/43/44,0.03540000608529609,,,,,,,0.061;0.043;-0.007
F,S4,TimeGAN,0.46460199886295817,0.7929413029121043,0.0837035991878895,0.7929413029121043,0.17504894845083038,0.6221928797341197,0.6491232640298468,
F,S4,QuantGAN,0.18396747151536758,0.2590251051578613,0.0728486806476882,0.2590251051578613,0.13410575581046685,0.24765850761594663,0.20619930834487485,
F,S4,CNN-WGAN-GP,0.21284236218460392,0.3779471492405354,0.1696830779387723,0.3779471492405354,0.16942140934834146,0.09561317509475692,0.2515469993006136,
F,S4,GARCH,0.13189567627227006,0.22279112269958481,0.09809343213779109,0.09232424928913707,0.1422067037753126,0.22279112269958481,0.10406287345952464,
F,S4,GJR-GARCH,0.11104097270607297,0.19668986949485925,0.19668986949485925,0.1083968285928124,0.02809952550014583,0.10740285913168167,0.11461578081086561,
F,S4,MARGIN second-first by seed 42/43/44,0.05820040734364285,,,,,,,0.052;0.034;-0.056
F,S5,TimeGAN,0.4753414373028707,0.8654121201803805,0.19020441921373824,0.8654121201803805,0.12946531198279607,0.6179328332388223,0.5736925018986164,
F,S5,QuantGAN,0.178793227838652,0.2889677117523237,0.1104980607457499,0.2081742589967442,0.07169592821387356,0.2889677117523237,0.21463017948456858,
F,S5,CNN-WGAN-GP,0.20397128564898798,0.33882173789181125,0.15895866488762794,0.33882173789181125,0.2007400212275794,0.07930528501488729,0.24203071922303376,
F,S5,GARCH,0.1077311239998953,0.2056080248043484,0.03215938728390516,0.16131172024510612,0.059930160600984925,0.2056080248043484,0.07964632706513203,
F,S5,GJR-GARCH,0.1295096745610028,0.2720466021502503,0.2720466021502503,0.16771460513476524,0.06944416099715359,0.062406392486100276,0.07593661203674468,
F,S5,MARGIN second-first by seed 42/43/44,0.020369670330855946,,,,,,,0.082;0.067;0.042
