market,seed,model,draw,auc_contiguous,auc_purged,auc_shuffled
BOVESPA,42,TimeGAN,0,0.9303393351800555,0.9287306094182824,0.9343801939058173
BOVESPA,42,QuantGAN,0,0.9236906740535549,0.9227151431209603,0.9515027700831025
BOVESPA,42,CNN-WGAN-GP,0,0.7535316251154202,0.741632271468144,0.8017566943674976
BOVESPA,42,GARCH,0,0.6255191597414589,0.624278162511542,0.751750923361034
BOVESPA,42,GJR-GARCH,0,0.6555821791320406,0.6552536934441366,0.7561451985226223
BOVESPA,42,TimeGAN,1,0.9283367959372114,0.9297160664819943,0.9341234995383194
BOVESPA,42,QuantGAN,1,0.7277243767313019,0.7240053093259464,0.7993097876269621
BOVESPA,42,CNN-WGAN-GP,1,0.7310205447830102,0.7144674515235457,0.8263728070175439
BOVESPA,42,GARCH,1,0.635508541089566,0.6187338411819022,0.7258007848568789
BOVESPA,42,GJR-GARCH,1,0.6680914127423823,0.6501329639889197,0.731202677746999
BOVESPA,42,TimeGAN,2,0.7624909972299169,0.7554157433056325,0.8741121883656511
BOVESPA,42,QuantGAN,2,0.7033040166204986,0.6751595106186519,0.8026438134810711
BOVESPA,42,CNN-WGAN-GP,2,0.7310083102493075,0.7078081717451523,0.7698672668513389
BOVESPA,42,GARCH,2,0.8944286703601108,0.8892712373037858,0.8763771929824561
BOVESPA,42,GJR-GARCH,2,0.842339104339797,0.8394012003693444,0.8719893813481072
BOVESPA,42,TimeGAN,3,0.7502862419205909,0.7394568328716528,0.8654780701754387
BOVESPA,42,QuantGAN,3,0.8028444136657434,0.8008040166204985,0.8539067405355494
BOVESPA,42,CNN-WGAN-GP,3,0.7015283933518006,0.6896094182825486,0.7740138504155125
BOVESPA,42,GARCH,3,0.7916057248384117,0.7824556786703601,0.8136959833795014
BOVESPA,42,GJR-GARCH,3,0.783030701754386,0.7687599261311172,0.8171523545706372
BOVESPA,42,TimeGAN,4,0.7642846260387811,0.7560932594644506,0.8906135734072022
BOVESPA,42,QuantGAN,4,0.7564517543859649,0.7482356879039704,0.8190911819021238
BOVESPA,42,CNN-WGAN-GP,4,0.725216297322253,0.6697636195752539,0.8222742382271468
BOVESPA,42,GARCH,4,0.8854005078485688,0.8825198522622346,0.9147121421975992
BOVESPA,42,GJR-GARCH,4,0.8273737303785781,0.8234526777469992,0.8740420129270545
BOVESPA,42,TimeGAN,5,0.7626020313942752,0.7227319944598338,0.8570657894736842
BOVESPA,42,QuantGAN,5,0.7002289935364727,0.6876892890120037,0.7119946906740535
BOVESPA,42,CNN-WGAN-GP,5,0.5480791782086796,0.4570630193905817,0.6797315327793167
BOVESPA,42,GARCH,5,0.7507234533702677,0.7465796398891966,0.7761297322253001
BOVESPA,42,GJR-GARCH,5,0.6583328716528162,0.660822483841182,0.7118836565096954
BOVESPA,42,TimeGAN,6,0.8032996306555864,0.7741431209602954,0.8949549861495845
BOVESPA,42,QuantGAN,6,0.8756749769159742,0.8699958448753463,0.9170475530932596
BOVESPA,42,CNN-WGAN-GP,6,0.6207433056325022,0.5718723453370268,0.6720318559556787
BOVESPA,42,GARCH,6,0.7694443674976915,0.7669614496768237,0.7975616343490305
