market,perm_seed,auc_contiguous,auc_purged,auc_shuffled
BOVESPA,42,0.32027077562326867,0.3097786241920591,0.5601334256694368
BOVESPA,1,0.37334949215143115,0.3325129270544783,0.5803444136657432
BOVESPA,2,0.29961288088642657,0.28762511542012925,0.5397629270544784
BOVESPA,3,0.23862488457987077,0.22136865189289012,0.5241885964912282
BOVESPA,4,0.32102146814404436,0.3101325023084026,0.5729810710987997
BOVESPA,5,0.2652179132040628,0.26919690674053554,0.48631879039704523
BOVESPA,6,0.27956394275161583,0.24951385041551247,0.5632984764542937
BOVESPA,7,0.4439201292705448,0.3799272853185595,0.6464512927054479
BOVESPA,8,0.3457352262234533,0.30164635272391505,0.5979699907663897
BOVESPA,9,0.25852446906740534,0.2274309787626962,0.5564261311172668
BOVESPA,10,0.2371463527239151,0.2527982456140351,0.5670166204986149
BOVESPA,11,0.44484487534626044,0.37297899353647274,0.6509833795013851
BOVESPA,12,0.3270604801477378,0.31814635272391506,0.5508781163434902
BOVESPA,13,0.35452031394275163,0.289960757156048,0.5920041551246538
BOVESPA,14,0.4076865189289012,0.3191973684210526,0.5803831948291782
BOVESPA,15,0.326941135734072,0.30547345337026777,0.541067405355494
BOVESPA,16,0.49179039704524474,0.5120648661126501,0.62089081255771
BOVESPA,17,0.49862165281625115,0.4083430286241921,0.6154055863342567
BOVESPA,18,0.2790316251154201,0.27146860572483844,0.5174471375807942
BOVESPA,19,0.211553324099723,0.20667520775623266,0.5004198984302862
BOVESPA,20,0.34838804247460764,0.30190604801477383,0.5622319944598337
FTSE,42,0.7014551116838488,0.6766918134306987,0.7919539304123713
FTSE,1,0.650797134521764,0.6026229596219932,0.7499216960194731
FTSE,2,0.6541391484106529,0.6115386508447881,0.7892334264032075
FTSE,3,0.43511486075315,0.38982741802691867,0.6250796463344788
FTSE,4,0.5370746975229096,0.5081335463201604,0.7089418671248569
FTSE,5,0.4573428998424972,0.4055038749284078,0.6950798253150057
FTSE,6,0.6801653780068728,0.6211472204324169,0.7757508233104238
FTSE,7,0.6006526077462772,0.5671069587628865,0.729497333190149
FTSE,8,0.47259785760309275,0.39028874033505156,0.6894567046105384
FTSE,9,0.6362959085051546,0.4984809027777778,0.755494925902062
FTSE,10,0.6187963112113403,0.613379241838488,0.7302063198024056
FTSE,11,0.5560790735967927,0.5137137116981673,0.6709116373138603
FTSE,12,0.7005819104381444,0.6516969591208477,0.7802960337915235
FTSE,13,0.7270804248997709,0.6867697594501718,0.7947388674112258
FTSE,14,0.7151026005870561,0.6625183455040091,0.7905238760022909
FTSE,15,0.597810844430126,0.5427794780927836,0.7387687482101948
FTSE,16,0.605334514604811,0.5650171373854525,0.7477784042096219
FTSE,17,0.5761000590635739,0.5369346452605956,0.7111616731099656
FTSE,18,0.44489994988545245,0.3875221488402062,0.6876686891466208
FTSE,19,0.5759573220933563,0.5142054606958764,0.7440014676403207
FTSE,20,0.5194585391609393,0.4723835284221076,0.7020497744845361
MOEX,42,0.3829427083333333,0.3814453125,0.6100694444444444
MOEX,1,0.6137586805555556,0.5550564236111112,0.6794921875
MOEX,2,0.5950737847222222,0.513888888888889,0.71015625
MOEX,3,0.3825954861111111,0.34952256944444443,0.6571397569444445
MOEX,4,0.7041015625,0.6329427083333334,0.7434895833333333
MOEX,5,0.6055338541666666,0.517751736111111,0.7298611111111111
MOEX,6,0.6166883680555555,0.6141493055555556,0.7529079861111111
MOEX,7,0.7286675347222223,0.683203125,0.7812934027777778
MOEX,8,0.6203776041666667,0.5630425347222223,0.7557291666666667
MOEX,9,0.6130859375,0.5623480902777779,0.7373914930555555
MOEX,10,0.39720052083333335,0.4048828125,0.648046875
MOEX,11,0.5359809027777778,0.5185980902777778,0.6630208333333334
MOEX,12,0.5372395833333333,0.43604600694444445,0.6981336805555556
MOEX,13,0.7401258680555556,0.7022352430555555,0.7909722222222222
MOEX,14,0.6346571180555556,0.6037109375,0.7068142361111113
MOEX,15,0.6356770833333333,0.6613715277777779,0.7414930555555557
MOEX,16,0.638888888888889,0.6202039930555556,0.7587022569444444
MOEX,17,0.7054470486111111,0.6749565972222223,0.7812934027777777
MOEX,18,0.45770399305555565,0.4278428819444445,0.677907986111111
MOEX,19,0.5176432291666667,0.48576388888888894,0.6603081597222223
MOEX,20,0.4937934027777778,0.42504340277777775,0.6916883680555556
NIFTY50,42,0.5057890120036934,0.3926941366574331,0.6154856879039704
NIFTY50,1,0.5525620960295475,0.4268372576177285,0.6642984764542936
NIFTY50,2,0.27425346260387806,0.28702446906740536,0.5434882271468144
NIFTY50,3,0.3936331948291782,0.3397839335180055,0.6363704986149585
NIFTY50,4,0.4048437211449677,0.30386034164358267,0.6459012003693443
NIFTY50,5,0.5239732225300092,0.40846306555863343,0.6722897045244691
NIFTY50,6,0.2881560480147738,0.2833679593721145,0.584183056325023
NIFTY50,7,0.6038806555863343,0.4548656509695291,0.6421438134810711
NIFTY50,8,0.3710376269621422,0.2900387811634349,0.5819048938134811
NIFTY50,9,0.27036449676823643,0.2252809325946445,0.5820463988919669
NIFTY50,10,0.5109817636195751,0.4031456602031394,0.6398968144044321
NIFTY50,11,0.5862126038781164,0.5535371652816252,0.6816419667590028
NIFTY50,12,0.5579314404432132,0.5574429824561403,0.6222705447830101
NIFTY50,13,0.3596819021237304,0.3072876269621422,0.5813134810710988
NIFTY50,14,0.5351295013850416,0.46319898430286244,0.669443674976916
NIFTY50,15,0.5774219759926131,0.5362712373037858,0.6906024930747924
NIFTY50,16,0.423440674053555,0.3434150507848569,0.6076355032317636
NIFTY50,17,0.5442486149584487,0.5272066020313944,0.6261343490304709
NIFTY50,18,0.5392363804247461,0.489039704524469,0.6473437211449676
NIFTY50,19,0.5959168975069252,0.5545819482917821,0.6461398891966759
NIFTY50,20,0.3518104801477378,0.2973049399815328,0.5970944136657433
SHANGHAI,42,0.4146168662961897,0.39080818591744715,0.6166006154936126
